annual_income,loan_amount,credit_score,debt_to_income_ratio,years_employed,delinquencies_last_2yrs
44820,9600,679,0.2,5.7,2
48516,36700,613,0.18,4.3,0
55491,60900,590,0.4,1.0,1
32226,55300,598,0.143,1.2,0
45642,32400,725,0.162,20.9,0
35156,6500,717,0.174,0.0,1
69718,70000,629,0.117,0.0,0
129394,70000,608,0.543,6.4,0
15000,16600,657,0.358,0.0,1
51300,32400,625,0.157,4.8,1
20752,2100,646,0.321,0.2,0
223256,70000,766,0.362,14.7,0
16334,1600,612,0.225,0.5,0
30729,12000,660,0.432,2.9,0
15000,20100,555,0.406,4.5,3
55170,5800,739,0.494,36.5,0
86889,83700,724,0.367,4.0,0
47024,24900,503,0.036,2.5,0
44626,62300,512,0.579,3.7,0
26542,4400,557,0.472,4.4,0
39560,4400,645,0.558,0.4,1
43443,46900,654,0.376,16.8,0
87894,57700,723,0.431,29.2,0
15000,1500,686,0.191,0.5,1
43014,31900,642,0.161,16.5,1
91459,100000,560,0.083,1.9,1
23240,29000,542,0.314,6.3,1
15000,7200,706,0.345,0.0,0
151266,100000,580,0.31,1.0,0
21185,9600,582,0.763,6.4,1
50973,68500,720,0.213,5.1,0
20380,30900,726,0.423,0.7,1
28813,34800,591,0.107,0.0,1
24674,23300,625,0.173,1.2,1
39831,36600,618,0.342,11.5,0
61785,35800,448,0.024,1.0,0
40093,28400,695,0.41,14.7,0
70288,43800,655,0.375,2.8,0
15000,15200,539,0.135,4.4,1
75903,33500,541,0.51,2.5,0
45794,59200,653,0.515,31.6,0
36304,49700,611,0.156,0.7,1
38618,39900,590,0.239,4.9,1
15882,1600,562,0.349,1.4,2
41912,78000,629,0.22,19.0,0
97569,100000,759,0.2,1.0,0
22502,15700,733,0.648,16.7,0
38940,23200,546,0.296,7.9,0
29224,40500,544,0.123,0.0,0
58891,47300,680,0.327,10.2,0
32073,61100,635,0.731,21.4,2
86176,76100,703,0.6,3.2,1
80933,53200,720,0.168,1.2,0
23193,26400,610,0.104,0.0,1
41173,8900,763,0.167,17.9,0
64273,2200,596,0.454,5.3,0
27636,15000,596,0.167,4.0,1
55417,66000,582,0.111,3.1,4
37603,7300,680,0.289,6.6,0
32362,22500,655,0.508,13.4,0
38447,48100,622,0.247,9.6,1
66214,2400,648,0.132,13.0,0
33145,36200,650,0.135,28.5,0
70034,39800,523,0.236,22.6,3
41168,36600,585,0.128,5.5,1
112292,30500,649,0.17,4.7,1
40762,12900,569,0.161,2.3,0
26537,31000,570,0.249,0.6,1
64358,39000,618,0.158,9.9,1
26207,2600,594,0.213,0.4,2
20020,32100,652,0.421,0.2,0
26664,5000,619,0.241,3.3,0
21800,14300,673,0.146,1.9,0
40077,57500,631,0.479,1.5,0
49872,59700,743,0.624,1.1,1
15900,5000,680,0.14,0.2,1
92376,31400,751,0.168,29.5,0
160161,47500,725,0.227,2.0,0
45056,43700,644,0.215,28.1,0
23771,29600,735,0.084,0.0,1
66634,43000,664,0.244,7.2,0
25479,11400,601,0.152,8.8,0
48045,90000,600,0.375,14.3,0
27131,49500,614,0.257,0.3,1
175423,100000,644,0.459,1.0,0
60049,21300,600,0.328,9.4,1
35763,33100,652,0.213,29.6,0
57081,57600,627,0.35,0.9,2
57883,55700,797,0.335,25.6,0
63095,38600,590,0.219,2.3,1
25172,13500,526,0.309,9.1,4
45960,62700,629,0.297,5.0,1
20703,28000,715,0.418,22.3,0
15000,29200,614,0.377,5.7,3
43948,40900,658,0.037,4.7,0
33046,11700,678,0.293,0.5,0
53216,14700,503,0.165,4.6,1
23479,29400,613,0.383,5.1,2
20620,6100,551,0.706,0.0,0
27304,52800,697,0.197,1.1,1
32475,32800,662,0.196,1.3,1
27839,31000,707,0.287,5.9,1
43079,54200,571,0.466,1.0,0
96686,66100,636,0.393,12.5,2
25629,8100,668,0.261,0.7,1
15000,5000,505,0.345,9.2,1
34166,25300,596,0.575,1.4,1
31302,30000,567,0.094,15.3,0
40566,53700,697,0.327,7.5,0
77963,27700,751,0.344,5.4,0
37889,44700,581,0.207,6.9,1
39355,8200,647,0.174,3.1,1
65691,100000,653,0.306,5.5,0
15000,1500,632,0.188,1.0,1
53237,30800,654,0.28,2.6,0
79616,66400,666,0.581,3.8,0
40906,26900,675,0.16,11.8,0
60236,70000,679,0.352,13.4,0
31926,16300,627,0.193,2.0,0
46619,75900,624,0.394,6.9,0
55040,27400,547,0.49,1.8,0
23676,6900,643,0.199,0.6,0
39230,25100,547,0.065,1.2,0
28753,2100,659,0.413,17.7,1
40106,75900,574,0.262,15.2,1
62900,53800,662,0.416,1.0,0
25425,9200,690,0.565,1.0,0
88687,52200,665,0.146,3.4,0
52847,800,592,0.166,17.6,0
69815,50000,688,0.127,13.3,0
58556,20500,637,0.658,27.2,0
39988,12600,698,0.116,16.7,0
21045,11200,643,0.227,2.0,2
25043,12000,638,0.297,0.5,0
26046,5200,592,0.368,1.0,0
37750,17800,615,0.445,9.4,2
28778,36600,632,0.345,0.1,0
38128,19200,614,0.11,4.7,0
45767,37300,630,0.091,0.4,0
32533,34900,610,0.452,5.3,2
52081,58100,658,0.304,7.6,1
77225,70000,724,0.323,4.7,0
40996,2400,597,0.406,0.0,1
60757,21900,584,0.421,1.8,0
36173,25300,738,0.049,29.4,0
35764,7000,600,0.132,4.0,0
39124,1400,582,0.036,2.1,1
52502,41300,647,0.352,0.0,1
15000,9800,741,0.279,1.3,0
41538,24400,699,0.2,8.4,1
55863,28400,663,0.035,15.6,0
77559,28400,646,0.069,7.6,0
44633,38500,534,0.294,0.4,0
22864,17300,565,0.128,21.8,0
21088,7100,585,0.061,1.0,1
72520,14400,513,0.04,1.0,4
22827,40900,619,0.154,0.1,1
68642,14000,621,0.321,10.7,0
72513,50000,673,0.153,1.0,0
55758,41300,615,0.243,2.6,1
33535,500,608,0.049,2.3,1
18901,9700,643,0.133,20.3,0
61239,64800,659,0.174,0.0,0
54066,14900,706,0.1,13.8,0
15000,7300,663,0.526,1.6,0
40255,25400,772,0.597,3.0,0
15000,12200,601,0.393,2.6,0
54535,64500,721,0.221,8.8,4
36531,21200,727,0.23,2.0,0
50727,60900,642,0.204,0.3,0
18485,8100,612,0.137,1.0,1
58657,32400,766,0.646,30.0,0
30819,18500,711,0.118,0.4,0
65930,70000,703,0.322,5.3,0
25684,30600,513,0.171,1.7,0
50824,13000,598,0.121,7.4,1
65582,85200,686,0.134,14.0,0
38797,50700,648,0.25,8.8,0
24275,38200,695,0.387,8.0,0
17848,25000,557,0.145,2.1,2
23550,38400,634,0.16,5.0,1
44314,12800,726,0.118,19.7,0
26998,28300,818,0.373,0.0,0
18034,1300,517,0.234,0.0,1
34438,8500,558,0.573,11.2,1
38224,15400,715,0.073,15.0,0
64150,60400,624,0.119,14.1,1
27828,19300,720,0.102,10.2,0
70517,70000,658,0.368,7.0,1
15000,1500,711,0.435,1.9,0
78787,70000,706,0.204,16.0,0
101482,38700,680,0.178,5.2,0
51831,5200,651,0.204,0.3,1
55744,24400,611,0.213,1.0,4
55140,33900,647,0.302,3.7,0
15000,1500,643,0.442,1.4,0
15000,5700,626,0.613,1.2,2
85307,75800,622,0.18,3.1,2
67886,50000,656,0.263,26.9,0
81085,18600,556,0.257,1.6,2
